datum,obdobi_csu,cena
 46. týden 2025, 46. týden 2025,33.76
 47. týden 2025, 47. týden 2025,34.26
 48. týden 2025, 48. týden 2025,34.75
 49. týden 2025, 49. týden 2025,34.61
 50. týden 2025, 50. týden 2025,34.01
 51. týden 2025, 51. týden 2025,33.47
 52. týden 2025, 52. týden 2025,32.72
 01. týden 2026, 01. týden 2026,32.66
 02. týden 2026, 02. týden 2026,32.5
 03. týden 2026, 03. týden 2026,32.36
 04. týden 2026, 04. týden 2026,32.34
 05. týden 2026, 05. týden 2026,32.53
 06. týden 2026, 06. týden 2026,32.82
 07. týden 2026, 07. týden 2026,32.99
 08. týden 2026, 08. týden 2026,32.92
 09. týden 2026, 09. týden 2026,33.0
 10. týden 2026, 10. týden 2026,33.49
 11. týden 2026, 11. týden 2026,38.93
 12. týden 2026, 12. týden 2026,42.54
 13. týden 2026, 13. týden 2026,46.85

